Date_Sampled,Treatment,Lysimeter,Site,NH4,Nox,PO4,DIN
13/01/2015,1,1,Stn 2,0.03,3.2,0,3.23
13/01/2015,1,2,Stn 2,0.004,14.8,0.002,14.804
13/01/2015,1,3,Stn 2,0.006,14,0.002,14.006
13/01/2015,1,5,Stn 2,0.003,8.64,0.002,8.643
13/01/2015,2,6,Stn 2,0.003,8.51,0.002,8.513
13/01/2015,2,7,Stn 2,0.012,13.3,0.001,13.312
13/01/2015,3,11,Stn 4,0.005,4.11,0.002,4.115
13/01/2015,3,12,Stn 4,0.005,8.45,0.002,8.455
13/01/2015,3,13,Stn 4,0.005,7.79,0.003,7.795
13/01/2015,3,14,Stn 4,0.004,2.72,0.005,2.724
13/01/2015,3,15,Stn 4,0.007,0.736,0.004,0.743
13/01/2015,4,16,Stn 4,0.011,2.98,0.002,2.991
13/01/2015,4,17,Stn 4,0.021,1.24,0.007,1.261
13/01/2015,4,18,Stn 4,0.01,1.3,0.002,1.31
13/01/2015,4,19,Stn 4,0.012,2.05,0,2.062
13/01/2015,4,20,Stn 4,0.004,5.94,0.002,5.944
19/01/2015,1,1,Stn 2,0.002,6.29,0,6.292
19/01/2015,1,2,Stn 2,0.004,9.94,0,9.944
19/01/2015,1,3,Stn 2,0.004,19.4,0,19.404
19/01/2015,1,5,Stn 2,0.003,26,0,26.003
19/01/2015,2,6,Stn 2,0,5.65,0,5.65
19/01/2015,2,7,Stn 2,0.003,13.7,0,13.703
19/01/2015,2,8,Stn 2,0.003,3.63,0,3.633
19/01/2015,3,11,Stn 4,0.003,1.78,0,1.783
19/01/2015,3,12,Stn 4,0.004,5.22,0,5.224
19/01/2015,3,13,Stn 4,0.004,7.04,0.001,7.044
19/01/2015,3,14,Stn 4,0.024,1.59,0.001,1.614
19/01/2015,3,15,Stn 4,0.004,1.78,0.002,1.784
19/01/2015,4,16,Stn 4,0.003,1.02,0,1.023
19/01/2015,4,17,Stn 4,0.008,3.49,0.001,3.498
19/01/2015,4,18,Stn 4,0.005,1.45,0.001,1.455
19/01/2015,4,19,Stn 4,0.004,4.95,0.001,4.954
19/01/2015,4,20,Stn 4,0,8.23,0.003,8.23
28/01/2015,1,3,Stn 2,0.146,0,0.005,0.146
28/01/2015,2,6,Stn 2,0.218,7.24,0,7.458
28/01/2015,3,11,Stn 4,0.214,2.23,0,2.444
28/01/2015,3,14,Stn 4,0.154,1.21,0,1.364
28/01/2015,4,17,Stn 4,0.071,4.49,0.002,4.561
28/01/2015,4,18,Stn 4,0.09,0.674,0.003,0.764
28/01/2015,4,20,Stn 4,0.027,4.84,0,4.867
9/02/2015,1,1,Stn 2,0.003,9.1,0,9.103
9/02/2015,1,2,Stn 2,0.016,14.9,0,14.916
9/02/2015,1,3,Stn 2,0.004,21.1,0,21.104
9/02/2015,1,5,Stn 2,0.003,14.4,0,14.403
9/02/2015,2,6,Stn 2,0.01,7.54,0,7.55
9/02/2015,2,7,Stn 2,0.033,11.3,0,11.333
9/02/2015,2,8,Stn 2,0.003,5.88,0,5.883
9/02/2015,3,11,Stn 4,0.004,1.93,0,1.934
9/02/2015,3,12,Stn 4,0.014,8.05,0,8.064
9/02/2015,3,13,Stn 4,0.004,8.61,0,8.614
9/02/2015,3,14,Stn 4,0.009,2.9,0.001,2.909
9/02/2015,3,15,Stn 4,0.012,1.59,0,1.602
9/02/2015,4,16,Stn 4,0.016,1.57,0.001,1.586
9/02/2015,4,17,Stn 4,0.044,5.18,0,5.224
9/02/2015,4,18,Stn 4,0.004,0.175,0,0.179
9/02/2015,4,19,Stn 4,0.005,4.02,0,4.025
9/02/2015,4,20,Stn 4,0.006,5.58,0,5.586
16/02/2015,1,1,Stn 2,0.003,8.17,0,8.173
16/02/2015,1,2,Stn 2,0.002,11.5,0,11.502
16/02/2015,1,3,Stn 2,0.01,17.3,0,17.31
16/02/2015,1,5,Stn 2,0.003,11.3,0,11.303
16/02/2015,2,6,Stn 2,0.002,7.54,0,7.542
16/02/2015,2,7,Stn 2,0.005,7.1,0,7.105
16/02/2015,2,8,Stn 2,0.002,6.38,0.001,6.382
16/02/2015,3,11,Stn 4,0.003,1.27,0,1.273
16/02/2015,3,12,Stn 4,0.003,6.36,0,6.363
16/02/2015,3,13,Stn 4,0.004,5.88,0,5.884
16/02/2015,3,14,Stn 4,0.018,2.69,0,2.708
16/02/2015,3,15,Stn 4,0.007,1.45,0,1.457
16/02/2015,4,16,Stn 4,0.004,1.72,0,1.724
16/02/2015,4,17,Stn 4,0.008,3.71,0,3.718
16/02/2015,4,18,Stn 4,0.006,0.741,0,0.747
16/02/2015,4,19,Stn 4,0.004,4.81,0,4.814
16/02/2015,4,20,Stn 4,0.042,4.27,0,4.312
5/03/2015,1,1,Stn 2,0.005,3.22,0,3.225
5/03/2015,1,2,Stn 2,0.006,4.12,0,4.126
5/03/2015,1,3,Stn 2,0.007,6.48,0,6.487
5/03/2015,1,5,Stn 2,0.003,5.06,0,5.063
5/03/2015,2,6,Stn 2,0.006,2.38,0,2.386
5/03/2015,2,7,Stn 2,0.006,5.12,0,5.126
5/03/2015,2,8,Stn 2,0.006,1.59,0,1.596
5/03/2015,3,11,Stn 4,0.004,0.003,0,0.007
5/03/2015,3,12,Stn 4,0.004,0.654,0,0.658
5/03/2015,3,13,Stn 4,0.008,0.413,0,0.421
5/03/2015,3,14,Stn 4,0.003,0.003,0,0.006
5/03/2015,3,15,Stn 4,0.003,0.001,0,0.004
5/03/2015,4,16,Stn 4,0.012,0.028,0,0.04
5/03/2015,4,17,Stn 4,0.008,0.119,0,0.127
5/03/2015,4,18,Stn 4,0.008,0.048,0,0.056
5/03/2015,4,19,Stn 4,0.003,1.01,0,1.013
5/03/2015,4,20,Stn 4,0.008,0.418,0,0.426
9/03/2015,1,1,Stn 2,0.003,1.8,0,1.803
9/03/2015,1,2,Stn 2,0.005,2.4,0,2.405
9/03/2015,1,3,Stn 2,0.004,1.98,0,1.984
9/03/2015,1,5,Stn 2,0.006,1.71,0,1.716
9/03/2015,2,6,Stn 2,0.003,1.34,0,1.343
9/03/2015,2,7,Stn 2,0.004,1.91,0,1.914
9/03/2015,2,8,Stn 2,0.006,0.279,0,0.285
9/03/2015,3,11,Stn 4,0.005,0.184,0,0.189
9/03/2015,3,12,Stn 4,0.003,0.528,0,0.531
9/03/2015,3,13,Stn 4,0.005,0.194,0,0.199
9/03/2015,3,14,Stn 4,0.003,0.001,0,0.004
9/03/2015,3,15,Stn 4,0.004,0.003,0,0.007
9/03/2015,4,16,Stn 4,0.021,0.073,0,0.094
9/03/2015,4,17,Stn 4,0.004,0.18,0,0.184
