Date,treatment,Depth_m,NO3_mg/kg,NH4_mg/kg,,,,,,,,,,,,,,
21/07/2014,1,0.00-0.10,7.67,4.33,,,,,,,,,,,,,,
21/07/2014,1,0.10-0.20,8.33,3.00,,,,,,,,,,,,,,
21/07/2014,1,0.20-0.30,8.00,1.50,,,,,,,,,,,,,,
21/07/2014,1,0.30-0.60,4.00,0.50,,,,,,,,,,,,,,
21/07/2014,1,0.60-0.90,2.00,0.50,,,,,,,,,,,,,,
21/07/2014,2,0.00-0.10,8.33,2.67,,,,,,,,,,,,,,
21/07/2014,2,0.10-0.20,8.33,2.33,,,,,,,,,,,,,,
21/07/2014,2,0.20-0.30,6.67,1.00,,,,,,,,,,,,,,
21/07/2014,2,0.30-0.60,4.00,0.50,,,,,,,,,,,,,,
21/07/2014,2,0.60-0.90,3.00,0.50,,,,,,,,,,,,,,
21/07/2014,3,0.00-0.10,7.67,2.33,,,,,,,,,,,,,,
21/07/2014,3,0.10-0.20,6.67,1.00,,,,,,,,,,,,,,
21/07/2014,3,0.20-0.30,5.33,1.33,,,,,,,,,,,,,,
21/07/2014,3,0.30-0.60,3.00,0.50,,,,,,,,,,,,,,
21/07/2014,3,0.60-0.90,3.00,0.50,,,,,,,,,,,,,,
21/07/2014,4,0.00-0.10,7.33,2.33,,,,,,,,,,,,,,
21/07/2014,4,0.10-0.20,7.00,1.50,,,,,,,,,,,,,,
21/07/2014,4,0.20-0.30,5.33,0.50,,,,,,,,,,,,,,
21/07/2014,4,0.30-0.60,4.00,0.50,,,,,,,,,,,,,,
21/07/2014,4,0.60-0.90,1.83,0.50,,,,,,,,,,,,,,
21/07/2014,5,0.00-0.10,7.67,1.83,,,,,,,,,,,,,,
21/07/2014,5,0.10-0.20,8.00,0.50,,,,,,,,,,,,,,
21/07/2014,5,0.20-0.30,7.00,0.50,,,,,,,,,,,,,,
21/07/2014,5,0.30-0.60,4.00,0.50,,,,,,,,,,,,,,
21/07/2014,5,0.60-0.90,2.00,0.50,,,,,,,,,,,,,,
16/12/2014,1,0-0.025,111,83,,,,,,,,,,,,,,
16/12/2014,2,0-0.025,120,222.5,,,,,,,,,,,,,,
16/12/2014,3,0-0.025,124,53.5,,,,,,,,,,,,,,
16/12/2014,4,0-0.025,106,68,,,,,,,,,,,,,,
16/12/2014,5,0-0.025,-,-,,,,,,,,,,,,,,
8/01/2015,1,0-0.10,7.33,17.33,,,,,,,,,,,,,,
8/01/2015,1,0.10-0.30,18.33,10.33,,,,,,,,,,,,,,
8/01/2015,2,0-0.10,4.00,12.67,,,,,,,,,,,,,,
8/01/2015,2,0.10-0.30,14.33,5.33,,,,,,,,,,,,,,
8/01/2015,3,0-0.10,6.67,23.00,,,,,,,,,,,,,,
8/01/2015,3,0.10-0.30,17.33,15.67,,,,,,,,,,,,,,
8/01/2015,4,0-0.10,6.67,12.00,,,,,,,,,,,,,,
8/01/2015,4,0.10-0.30,18.67,3.67,,,,,,,,,,,,,,
8/01/2015,5,0-0.10,3.67,8.00,,,,,,,,,,,,,,
8/01/2015,5,0.10-0.30,12.67,3.67,,,,,,,,,,,,,,
24/03/2015,1,0-0.10,15.0,4.0,,,,,,,,,,,,,,
24/03/2015,1,0.10-0.30,11.0,3.0,,,,,,,,,,,,,,
24/03/2015,2,0-0.10,7.0,3.0,,,,,,,,,,,,,,
24/03/2015,2,0.10-0.30,7.0,3.0,,,,,,,,,,,,,,
24/03/2015,3,0-0.10,14.0,2.0,,,,,,,,,,,,,,
24/03/2015,3,0.10-0.30,8.0,2.0,,,,,,,,,,,,,,
24/03/2015,4,0-0.10,15.0,2.0,,,,,,,,,,,,,,
24/03/2015,4,0.10-0.30,8.0,2.0,,,,,,,,,,,,,,
24/03/2015,5,0-0.10,8.0,3.0,,,,,,,,,,,,,,
24/03/2015,5,0.10-0.30,31.0,4.0,,,,,,,,,,,,,,
11/11/2015,1,0.00-0.10,1.83,1.33,,,,,,,,,,,,,,
11/11/2015,1,0.10-0.20,2.50,4.00,,,,,,,,,,,,,,
11/11/2015,1,0.20-0.30,2.17,4.17,,,,,,,,,,,,,,
11/11/2015,1,0.30-0.60,1.00,1.33,,,,,,,,,,,,,,
11/11/2015,1,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
11/11/2015,2,0.00-0.10,7.00,2.83,,,,,,,,,,,,,,
11/11/2015,2,0.10-0.20,3.83,2.33,,,,,,,,,,,,,,
11/11/2015,2,0.20-0.30,2.17,2.33,,,,,,,,,,,,,,
11/11/2015,2,0.30-0.60,1.33,0.50,,,,,,,,,,,,,,
11/11/2015,2,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
11/11/2015,3,0.00-0.10,0.50,1.33,,,,,,,,,,,,,,
11/11/2015,3,0.10-0.20,0.50,2.50,,,,,,,,,,,,,,
11/11/2015,3,0.20-0.30,1.00,3.00,,,,,,,,,,,,,,
11/11/2015,3,0.30-0.60,1.50,1.00,,,,,,,,,,,,,,
11/11/2015,3,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
11/11/2015,4,0.00-0.10,1.00,0.50,,,,,,,,,,,,,,
11/11/2015,4,0.10-0.20,3.83,1.33,,,,,,,,,,,,,,
11/11/2015,4,0.20-0.30,2.17,1.00,,,,,,,,,,,,,,
11/11/2015,4,0.30-0.60,0.50,0.50,,,,,,,,,,,,,,
11/11/2015,4,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
11/11/2015,5,0.00-0.10,1.67,0.50,,,,,,,,,,,,,,
11/11/2015,5,0.10-0.20,1.33,1.33,,,,,,,,,,,,,,
11/11/2015,5,0.20-0.30,1.33,1.50,,,,,,,,,,,,,,
11/11/2015,5,0.30-0.60,0.50,0.50,,,,,,,,,,,,,,
11/11/2015,5,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
2/12/2015,1,0-0.10,5.33,7.00,,,,,,,,,,,,,,
2/12/2015,1,0.10-0.30,6.00,5.00,,,,,,,,,,,,,,
2/12/2015,2,0-0.10,2.50,4.00,,,,,,,,,,,,,,
2/12/2015,2,0.10-0.30,3.33,3.33,,,,,,,,,,,,,,
2/12/2015,3,0-0.10,1.33,2.67,,,,,,,,,,,,,,
2/12/2015,3,0.10-0.30,1.67,2.50,,,,,,,,,,,,,,
2/12/2015,4,0-0.10,18.00,7.00,,,,,,,,,,,,,,
2/12/2015,4,0.10-0.30,12.33,5.50,,,,,,,,,,,,,,
2/12/2015,5,0-0.10,1.67,2.33,,,,,,,,,,,,,,
2/12/2015,5,0.10-0.30,2.50,3.33,,,,,,,,,,,,,,
21/06/2016,1,0-0.10,4.667,8.00,,,,,,,,,,,,,,
21/06/2016,1,0.10-0.30,5.667,5.33,,,,,,,,,,,,,,
21/06/2016,2,0-0.10,4.667,9.00,,,,,,,,,,,,,,
21/06/2016,2,0.10-0.30,4.667,4.67,,,,,,,,,,,,,,
21/06/2016,3,0-0.10,2.167,4.33,,,,,,,,,,,,,,
21/06/2016,3,0.10-0.30,4.000,2.33,,,,,,,,,,,,,,
21/06/2016,4,0-0.10,4.000,6.33,,,,,,,,,,,,,,
21/06/2016,4,0.10-0.30,4.000,5.33,,,,,,,,,,,,,,
21/06/2016,5,0-0.10,2.667,8.00,,,,,,,,,,,,,,
21/06/2016,5,0.10-0.30,4.000,6.00,,,,,,,,,,,,,,
28/11/2016,1,0.00-0.10,1.00,5.33,,,,,,,,,,,,,,
28/11/2016,1,0.10-0.20,2.33,6.33,,,,,,,,,,,,,,
28/11/2016,1,0.20-0.30,3.00,6.00,,,,,,,,,,,,,,
28/11/2016,1,0.30-0.60,0.50,1.00,,,,,,,,,,,,,,
28/11/2016,1,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,2,0.00-0.10,1.00,6.00,,,,,,,,,,,,,,
28/11/2016,2,0.10-0.20,1.50,5.67,,,,,,,,,,,,,,
28/11/2016,2,0.20-0.30,2.67,4.67,,,,,,,,,,,,,,
28/11/2016,2,0.30-0.60,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,2,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,3,0.00-0.10,1.00,5.00,,,,,,,,,,,,,,
28/11/2016,3,0.10-0.20,1.83,4.67,,,,,,,,,,,,,,
28/11/2016,3,0.20-0.30,1.00,2.17,,,,,,,,,,,,,,
28/11/2016,3,0.30-0.60,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,3,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,4,0.00-0.10,2.50,7.33,,,,,,,,,,,,,,
28/11/2016,4,0.10-0.20,2.17,6.67,,,,,,,,,,,,,,
28/11/2016,4,0.20-0.30,3.00,5.00,,,,,,,,,,,,,,
28/11/2016,4,0.30-0.60,1.00,0.50,,,,,,,,,,,,,,
28/11/2016,4,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,5,0.00-0.10,0.50,5.67,,,,,,,,,,,,,,
28/11/2016,5,0.10-0.20,1.50,5.00,,,,,,,,,,,,,,
28/11/2016,5,0.20-0.30,1.50,3.67,,,,,,,,,,,,,,
28/11/2016,5,0.30-0.60,0.50,0.50,,,,,,,,,,,,,,
28/11/2016,5,0.60-0.90,0.50,0.50,,,,,,,,,,,,,,
19/12/2016,1,0-0.10,4.33,6.7,,,,,,,,,,,,,,
19/12/2016,1,0.10-0.30,3.67,4.0,,,,,,,,,,,,,,
19/12/2016,2,0-0.10,2.33,7.33,,,,,,,,,,,,,,
19/12/2016,2,0.10-0.30,1.67,5.33,,,,,,,,,,,,,,
19/12/2016,3,0-0.10,0.00,4.33,,,,,,,,,,,,,,
19/12/2016,3,0.10-0.30,0.00,3.00,,,,,,,,,,,,,,
19/12/2016,4,0-0.10,0.00,5.33,,,,,,,,,,,,,,
19/12/2016,4,0.10-0.30,0.67,6.00,,,,,,,,,,,,,,
19/12/2016,5,0-0.10,0.00,4.33,,,,,,,,,,,,,,
19/12/2016,5,0.10-0.30,0.00,3.33,,,,,,,,,,,,,,
3/01/2017,1,0-0.10,17.7,10.7,,,,,,,,,,,,,,
3/01/2017,1,0.10-0.30,10.7,6.0,,,,,,,,,,,,,,
3/01/2017,2,0-0.10,35.33,32.33,,,,,,,,,,,,,,
3/01/2017,2,0.10-0.30,17.67,16.00,,,,,,,,,,,,,,
3/01/2017,3,0-0.10,10.67,15.00,,,,,,,,,,,,,,
3/01/2017,3,0.10-0.30,6.00,9.33,,,,,,,,,,,,,,
3/01/2017,4,0-0.10,2.67,6.00,,,,,,,,,,,,,,
3/01/2017,4,0.10-0.30,0.67,4.67,,,,,,,,,,,,,,
3/01/2017,5,0-0.10,0.67,4.00,,,,,,,,,,,,,,
3/01/2017,5,0.10-0.30,0.67,3.67,,,,,,,,,,,,,,
14/02/2017,1,0-0.10,0.0,7.7,,,,,,,,,,,,,,
14/02/2017,1,0.10-0.30,2.7,5.7,,,,,,,,,,,,,,
14/02/2017,2,0-0.10,0.00,7.00,,,,,,,,,,,,,,
14/02/2017,2,0.10-0.30,0.67,3.67,,,,,,,,,,,,,,
14/02/2017,3,0-0.10,0.00,5.00,,,,,,,,,,,,,,
14/02/2017,3,0.10-0.30,0.00,4.33,,,,,,,,,,,,,,
14/02/2017,4,0-0.10,1.00,7.67,,,,,,,,,,,,,,
14/02/2017,4,0.10-0.30,0.00,4.00,,,,,,,,,,,,,,
14/02/2017,5,0-0.10,0.00,5.00,,,,,,,,,,,,,,
14/02/2017,5,0.10-0.30,0.00,3.33,,,,,,,,,,,,,,
12/06/2017,1,0.00-0.10,5.7,14.3,,,,,,,,,,,,,,
12/06/2017,1,0.10-0.30,7.7,7.0,,,,,,,,,,,,,,
12/06/2017,2,0-0.10,2.33,10.33,,,,,,,,,,,,,,
12/06/2017,2,0.10-0.30,4.67,3.67,,,,,,,,,,,,,,
12/06/2017,3,0-0.10,4.67,10.67,,,,,,,,,,,,,,
12/06/2017,3,0.10-0.30,4.67,7.00,,,,,,,,,,,,,,
12/06/2017,4,0-0.10,4.33,7.67,,,,,,,,,,,,,,
12/06/2017,4,0.10-0.30,5.33,5.00,,,,,,,,,,,,,,
12/06/2017,5,0-0.10,2.00,10.67,,,,,,,,,,,,,,
12/06/2017,5,0.10-0.30,3.67,6.67,,,,,,,,,,,,,,
3/11/2017,1,0.00-0.10,0.7,4.3,,,,,,,,,,,,,,
3/11/2017,1,0.10-0.20,0.0,3.3,,,,,,,,,,,,,,
3/11/2017,1,0.20-0.30,0.7,4.0,,,,,,,,,,,,,,
3/11/2017,1,0.30-0.60,0.0,0.0,,,,,,,,,,,,,,
3/11/2017,1,0.60-0.90,0.0,0.0,,,,,,,,,,,,,,
3/11/2017,2,0.00-0.10,0.00,4.33,,,,,,,,,,,,,,
3/11/2017,2,0.10-0.20,0.00,2.67,,,,,,,,,,,,,,
3/11/2017,2,0.20-0.30,0.00,2.00,,,,,,,,,,,,,,
3/11/2017,2,0.30-0.60,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,2,0.60-0.90,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,3,0.00-0.10,0.00,2.33,,,,,,,,,,,,,,
3/11/2017,3,0.10-0.20,0.00,1.00,,,,,,,,,,,,,,
3/11/2017,3,0.20-0.30,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,3,0.30-0.60,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,3,0.60-0.90,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,4,0.00-0.10,0.00,3.33,,,,,,,,,,,,,,
3/11/2017,4,0.10-0.20,0.00,2.00,,,,,,,,,,,,,,
3/11/2017,4,0.20-0.30,0.00,1.00,,,,,,,,,,,,,,
3/11/2017,4,0.30-0.60,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,4,0.60-0.90,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,5,0.00-0.10,0.00,0.67,,,,,,,,,,,,,,
3/11/2017,5,0.10-0.20,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,5,0.20-0.30,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,5,0.30-0.60,0.00,0.00,,,,,,,,,,,,,,
3/11/2017,5,0.60-0.90,0.00,7.67,,,,,,,,,,,,,,
