Date,sample,depth_m,pH,EC_dS_m,Cl_mg_kg,NO3-N,P_Colwell_mg/kg,P_BSES,TC_%,TN_%,Ca_cmol_c/kg,Mg_cmol_c/kg,K_cmol_c/kg,Na_cmol_c/kg,ADMC_%,Coarse sand_%,Fine sand_%,Silt_%,Clay_%,TKN_%
05-Dec-13,Prelim T1+2,0.00-0.20,,,,,,104,6.35,0.34,,,,,,,,,,
05-Dec-13,Prelim T1+3,0.20-0.40,,,,,,72,5.57,0.3,,,,,,,,,,
05-Dec-13,Prelim T3+3,0.00-0.20,,,,,,102,5.78,0.31,,,,,,,,,,
05-Dec-13,Prelim T3+4,0.20-0.40,,,,,,66,4.42,0.24,,,,,,,,,,
21/07/2014,Pre-plant T1 C2,0.00-0.10,5.2,0.03,20,5,48,124,6.55,0.34,1.23,0.304,0.194,0.098,4,6.1,27.8,28,39.1,
21/07/2014,Pre-plant T1 C2,0.10-0.20,5.1,0.03,<20,4,,,6.92,0.35,1.01,0.175,0.19,<0.080,4,6.3,28.2,28,39.1,
21/07/2014,Pre-plant T1 C2,0.20-0.30,5.1,0.02,<20,4,,,6.18,0.32,0.71,0.099,0.125,<0.080,3.6,6,25.3,29.5,40.8,
21/07/2014,Pre-plant T1 C2,0.30-0.60,5,0.02,<20,3,,,3.78,0.2,0.442,0.055,0.084,<0.080,2.8,5.1,15.5,27.7,52.4,
21/07/2014,Pre-plant T1 C2,0.60-0.90,4.8,0.01,<20,<1,,,1.54,0.09,0.211,0.06,0.063,<0.080,<1.5,9.1,27.4,22.4,43.3,
21/07/2014,Pre-plant T2 C2,0.00-0.10,5,0.04,21,9,50,107,6.28,0.33,1.61,0.227,0.186,0.083,4.1,5.3,26.7,28.2,40.8,
21/07/2014,Pre-plant T2 C2,0.10-0.20,5.1,0.04,23,8,,,6.69,0.35,1.62,0.243,0.214,0.084,3.4,5.4,25.8,29.7,40.5,
21/07/2014,Pre-plant T2 C2,0.20-0.30,5.1,0.03,<20,8,,,6.16,0.32,1.33,0.178,0.161,<0.080,3.3,4.8,25.4,29.7,40.4,
21/07/2014,Pre-plant T2 C2,0.30-0.60,5,0.02,<20,2,,,2.6,0.14,0.458,0.062,0.077,<0.080,1.7,3.8,23,22.5,49.9,
21/07/2014,Pre-plant T2 C2,0.60-0.90,4.8,0.01,<20,<1,,,0.48,<0.05,0.386,0.148,0.04,<0.080,<1.5,7.6,48.3,19.2,29.3,
21/07/2014,Pre-plant T3 C2,0.00-0.10,5.1,0.03,21,6,54,129,4.97,0.26,1.76,0.254,0.192,0.083,3.2,4.8,26,27.8,40.4,
21/07/2014,Pre-plant T3 C2,0.10-0.20,5.1,0.03,<20,7,,,5.42,0.27,1.66,0.206,0.176,<0.080,3.4,4.7,28.7,26.1,42.1,
21/07/2014,Pre-plant T3 C2,0.20-0.30,5.1,0.02,<20,5,,,4.65,0.24,1.1,0.148,0.136,<0.080,3,4.2,26.3,25.5,44.1,
21/07/2014,Pre-plant T3 C2,0.30-0.60,5,0.02,<20,2,,,2.44,0.13,0.559,0.064,0.085,<0.080,2.4,2.2,17.4,29.3,55.5,
21/07/2014,Pre-plant T3 C2,0.60-0.90,4.8,0.02,23,<1,,,1.22,0.08,0.33,0.064,0.065,<0.080,<1.5,4.2,29.2,22.2,46.5,
21/07/2014,Pre-plant T4 C2,0.00-0.10,5.3,0.03,23,7,47,128,5.71,0.29,2.85,0.245,0.163,0.092,3.7,5.1,28.4,24.3,42.5,
21/07/2014,Pre-plant T4 C2,0.10-0.20,5.3,0.03,21,8,,,5.68,0.29,2.69,0.229,0.153,0.089,3.4,4.8,29.8,24.3,40.6,
21/07/2014,Pre-plant T4 C2,0.20-0.30,5.3,0.02,<20,5,,,5.42,0.27,2.34,0.166,0.116,<0.080,2.9,4.4,29.2,27.6,40.3,
21/07/2014,Pre-plant T4 C2,0.30-0.60,5.1,0.02,<20,2,,,3.06,0.17,0.97,0.067,0.085,<0.080,1.6,3.3,23.5,27.8,49.9,
21/07/2014,Pre-plant T4 C2,0.60-0.90,4.9,0.01,<20,1,,,0.76,<0.05,0.342,0.055,0.056,<0.080,<1.5,5.5,43.7,15.3,39.8,
21/07/2014,Pre-plant T5 C2,0.00-0.10,5.2,0.03,<20,7,65,129,4.71,0.24,2.08,0.287,0.165,<0.080,2.6,9.7,35.6,18.8,35,
21/07/2014,Pre-plant T5 C2,0.10-0.20,5.2,0.03,<20,7,,,5.11,0.26,2.06,0.276,0.168,<0.080,2.7,9.4,35.7,20.6,35,
21/07/2014,Pre-plant T5 C2,0.20-0.30,5.2,0.02,<20,7,,,4.54,0.23,1.62,0.141,0.108,<0.080,2.7,9.6,37,20.7,35,
21/07/2014,Pre-plant T5 C2,0.30-0.60,5.2,0.01,<20,3,,,2.23,0.12,0.662,0.04,0.054,<0.080,<1.5,9.9,39.7,16.9,38,
21/07/2014,Pre-plant T5 C2,0.60-0.90,4.9,0.01,<20,1,,,0.55,<0.05,0.369,0.039,0.04,<0.080,<1.5,12.1,51.1,13.6,27.8,
11/11/2015,T 1 Core 1,0.00-0.10,,,,,,138,7.3,0.38,0.599,0.185,0.318,<0.080,,,,,,0.345
11/11/2015,T 1 Core 2,0.00-0.10,,,,,,156,,,1.03,0.309,0.461,<0.080,,,,,,0.307
11/11/2015,T 1 Core 3,0.00-0.10,,,,,,148,,,1.04,0.211,0.232,<0.080,,,,,,0.27
11/11/2015,T 2 Core 1,0.00-0.10,,,,,,93,5.64,0.29,0.799,0.146,0.27,<0.080,,,,,,0.277
11/11/2015,T 2 Core 2,0.00-0.10,,,,,,141,,,0.539,0.096,0.273,<0.080,,,,,,0.338
11/11/2015,T 2 Core 3,0.00-0.10,,,,,,167,,,0.777,0.169,0.258,<0.080,,,,,,0.325
11/11/2015,T 3 Core 1,0.00-0.10,,,,,,155,5.36,0.27,1.07,0.216,0.363,<0.080,,,,,,0.275
11/11/2015,T 3 Core 2,0.00-0.10,,,,,,136,,,1.32,0.197,0.253,<0.080,,,,,,0.247
11/11/2015,T 3 Core 3,0.00-0.10,,,,,,97,,,1.03,0.183,0.236,<0.080,,,,,,0.268
11/11/2015,T 4 Core 1,0.00-0.10,,,,,,106,5.38,0.27,0.883,0.159,0.409,<0.080,,,,,,0.242
11/11/2015,T 4 Core 2,0.00-0.10,,,,,,125,,,1.14,0.13,0.154,0.085,,,,,,0.277
11/11/2015,T 4 Core 3,0.00-0.10,,,,,,135,,,1.98,0.18,0.176,<0.080,,,,,,0.293
11/11/2015,T 5 Core 1,0.00-0.10,,,,,,92,4.16,0.22,1.65,0.257,0.193,<0.080,,,,,,0.212
11/11/2015,T 5 Core 2,0.00-0.10,,,,,,105,,,0.9,0.155,0.291,<0.080,,,,,,0.221
11/11/2015,T 5 Core 3,0.00-0.10,,,,,,114,,,0.967,0.147,0.197,<0.080,,,,,,0.31
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
